inventory_id,store_id,sku_id,inventory_date,expected_stock,actual_stock,stock_status,stock_difference,stock_loss_percent,inventory_health,inventory_leakage
INV000040,S001,SKU0040,2026-06-01,98,67,In Stock,31,31.63265306122449,Shortage,31
INV000041,S001,SKU0041,2026-06-01,49,39,In Stock,10,20.408163265306122,Shortage,10
INV000042,S001,SKU0042,2026-06-01,71,59,In Stock,12,16.901408450704224,Shortage,12
INV000043,S001,SKU0043,2026-06-01,58,56,In Stock,2,3.4482758620689653,Shortage,2
INV000044,S001,SKU0044,2026-06-01,72,47,In Stock,25,34.72222222222222,Shortage,25
INV000045,S001,SKU0045,2026-06-01,73,38,In Stock,35,47.94520547945205,Shortage,35
INV000046,S001,SKU0046,2026-06-01,39,19,In Stock,20,51.28205128205128,Shortage,20
INV000047,S001,SKU0047,2026-06-01,32,14,In Stock,18,56.25,Shortage,18
INV000048,S001,SKU0048,2026-06-01,57,29,In Stock,28,49.122807017543856,Shortage,28
INV000049,S001,SKU0049,2026-06-01,53,18,In Stock,35,66.0377358490566,Shortage,35
INV000050,S001,SKU0050,2026-06-01,23,0,Out of Stock,23,100.0,Shortage,23
INV000051,S001,SKU0051,2026-06-01,67,46,In Stock,21,31.343283582089555,Shortage,21
INV000052,S001,SKU0052,2026-06-01,83,68,In Stock,15,18.072289156626507,Shortage,15
INV000053,S001,SKU0053,2026-06-01,90,67,In Stock,23,25.555555555555554,Shortage,23
INV000054,S001,SKU0054,2026-06-01,72,47,In Stock,25,34.72222222222222,Shortage,25
INV000055,S001,SKU0055,2026-06-01,93,83,In Stock,10,10.75268817204301,Shortage,10
INV000056,S001,SKU0056,2026-06-01,99,90,In Stock,9,9.090909090909092,Shortage,9
INV000057,S001,SKU0057,2026-06-01,39,35,In Stock,4,10.256410256410255,Shortage,4
INV000058,S001,SKU0058,2026-06-01,96,82,In Stock,14,14.583333333333334,Shortage,14
INV000059,S001,SKU0059,2026-06-01,46,30,In Stock,16,34.78260869565217,Shortage,16
INV000060,S001,SKU0060,2026-06-01,56,42,In Stock,14,25.0,Shortage,14
INV000061,S001,SKU0061,2026-06-01,80,51,In Stock,29,36.25,Shortage,29
INV000062,S001,SKU0062,2026-06-01,59,21,In Stock,38,64.40677966101694,Shortage,38
INV000063,S001,SKU0063,2026-06-01,29,0,Out of Stock,29,100.0,Shortage,29
INV000064,S001,SKU0064,2026-06-01,60,26,In Stock,34,56.666666666666664,Shortage,34
INV000065,S001,SKU0065,2026-06-01,43,4,Low Stock,39,90.69767441860465,Shortage,39
INV000066,S001,SKU0066,2026-06-01,98,90,In Stock,8,8.16326530612245,Shortage,8
INV000067,S001,SKU0067,2026-06-01,53,46,In Stock,7,13.20754716981132,Shortage,7
INV000068,S001,SKU0068,2026-06-01,25,6,In Stock,19,76.0,Shortage,19
INV000069,S001,SKU0069,2026-06-01,45,30,In Stock,15,33.33333333333333,Shortage,15
INV000070,S001,SKU0070,2026-06-01,66,50,In Stock,16,24.242424242424242,Shortage,16
INV000071,S001,SKU0071,2026-06-01,62,58,In Stock,4,6.451612903225806,Shortage,4
INV000072,S001,SKU0072,2026-06-01,87,51,In Stock,36,41.37931034482759,Shortage,36
INV000073,S001,SKU0073,2026-06-01,44,34,In Stock,10,22.727272727272727,Shortage,10
INV000074,S001,SKU0074,2026-06-01,66,27,In Stock,39,59.09090909090909,Shortage,39
INV000075,S001,SKU0075,2026-06-01,94,61,In Stock,33,35.1063829787234,Shortage,33
INV000076,S001,SKU0076,2026-06-01,69,34,In Stock,35,50.72463768115942,Shortage,35
INV000077,S001,SKU0077,2026-06-01,89,83,In Stock,6,6.741573033707865,Shortage,6
INV000078,S001,SKU0078,2026-06-01,35,14,In Stock,21,60.0,Shortage,21
INV000079,S001,SKU0079,2026-06-01,31,26,In Stock,5,16.129032258064516,Shortage,5
INV000080,S001,SKU0080,2026-06-01,21,7,In Stock,14,66.66666666666666,Shortage,14
INV000081,S001,SKU0081,2026-06-01,27,17,In Stock,10,37.03703703703704,Shortage,10
INV000082,S001,SKU0082,2026-06-01,42,6,Low Stock,36,85.71428571428571,Shortage,36
INV000083,S001,SKU0083,2026-06-01,78,60,In Stock,18,23.076923076923077,Shortage,18
INV000084,S001,SKU0084,2026-06-01,62,43,In Stock,19,30.64516129032258,Shortage,19
INV000085,S001,SKU0085,2026-06-01,24,20,In Stock,4,16.666666666666664,Shortage,4
INV000086,S001,SKU0086,2026-06-01,35,0,Out of Stock,35,100.0,Shortage,35
INV000087,S001,SKU0087,2026-06-01,21,0,Out of Stock,21,100.0,Shortage,21
INV000088,S001,SKU0088,2026-06-01,52,44,In Stock,8,15.384615384615385,Shortage,8
INV000089,S001,SKU0089,2026-06-01,32,0,Out of Stock,32,100.0,Shortage,32
INV000090,S001,SKU0090,2026-06-01,97,65,In Stock,32,32.98969072164948,Shortage,32
INV000091,S001,SKU0091,2026-06-01,77,53,In Stock,24,31.16883116883117,Shortage,24
INV000092,S001,SKU0092,2026-06-01,68,56,In Stock,12,17.647058823529413,Shortage,12
INV000093,S001,SKU0093,2026-06-01,60,43,In Stock,17,28.333333333333332,Shortage,17
INV000094,S001,SKU0094,2026-06-01,62,27,In Stock,35,56.451612903225815,Shortage,35
INV000095,S001,SKU0095,2026-06-01,33,0,Out of Stock,33,100.0,Shortage,33
INV000096,S001,SKU0096,2026-06-01,67,44,In Stock,23,34.32835820895522,Shortage,23
INV000097,S001,SKU0097,2026-06-01,87,52,In Stock,35,40.229885057471265,Shortage,35
INV000098,S001,SKU0098,2026-06-01,66,64,In Stock,2,3.0303030303030303,Shortage,2
INV000099,S001,SKU0099,2026-06-01,94,69,In Stock,25,26.595744680851062,Shortage,25
INV000100,S001,SKU0100,2026-06-01,63,57,In Stock,6,9.523809523809524,Shortage,6
INV000101,S001,SKU0101,2026-06-01,75,42,In Stock,33,44.0,Shortage,33
INV000102,S001,SKU0102,2026-06-01,85,68,In Stock,17,20.0,Shortage,17
INV000103,S001,SKU0103,2026-06-01,89,57,In Stock,32,35.95505617977528,Shortage,32
INV000104,S001,SKU0104,2026-06-01,28,4,Low Stock,24,85.71428571428571,Shortage,24
INV000105,S001,SKU0105,2026-06-01,87,57,In Stock,30,34.48275862068966,Shortage,30
INV000106,S001,SKU0106,2026-06-01,22,14,In Stock,8,36.36363636363637,Shortage,8
INV000107,S001,SKU0107,2026-06-01,71,65,In Stock,6,8.450704225352112,Shortage,6
INV000108,S001,SKU0108,2026-06-01,44,5,Low Stock,39,88.63636363636364,Shortage,39
INV000109,S001,SKU0109,2026-06-01,39,19,In Stock,20,51.28205128205128,Shortage,20
INV000110,S001,SKU0110,2026-06-01,51,51,In Stock,0,0.0,Healthy,0
INV000111,S001,SKU0111,2026-06-01,80,52,In Stock,28,35.0,Shortage,28
INV000112,S001,SKU0112,2026-06-01,75,51,In Stock,24,32.0,Shortage,24
INV000113,S001,SKU0113,2026-06-01,92,60,In Stock,32,34.78260869565217,Shortage,32
INV000114,S001,SKU0114,2026-06-01,30,0,Out of Stock,30,100.0,Shortage,30
INV000115,S001,SKU0115,2026-06-01,85,64,In Stock,21,24.705882352941178,Shortage,21
INV000116,S001,SKU0116,2026-06-01,33,1,Low Stock,32,96.96969696969697,Shortage,32
INV000117,S001,SKU0117,2026-06-01,86,50,In Stock,36,41.86046511627907,Shortage,36
INV000118,S001,SKU0118,2026-06-01,80,52,In Stock,28,35.0,Shortage,28
INV000119,S001,SKU0119,2026-06-01,75,65,In Stock,10,13.333333333333334,Shortage,10
INV000120,S001,SKU0120,2026-06-01,67,42,In Stock,25,37.3134328358209,Shortage,25
INV000121,S001,SKU0121,2026-06-01,50,50,In Stock,0,0.0,Healthy,0
INV000122,S001,SKU0122,2026-06-01,58,21,In Stock,37,63.793103448275865,Shortage,37
INV000123,S001,SKU0123,2026-06-01,88,88,In Stock,0,0.0,Healthy,0
INV000124,S001,SKU0124,2026-06-01,31,3,Low Stock,28,90.32258064516128,Shortage,28
INV000125,S001,SKU0125,2026-06-01,93,87,In Stock,6,6.451612903225806,Shortage,6
INV000126,S001,SKU0126,2026-06-01,22,20,In Stock,2,9.090909090909092,Shortage,2
INV000127,S001,SKU0127,2026-06-01,27,5,Low Stock,22,81.48148148148148,Shortage,22
INV000128,S001,SKU0128,2026-06-01,97,80,In Stock,17,17.525773195876287,Shortage,17
INV000129,S001,SKU0129,2026-06-01,42,29,In Stock,13,30.952380952380953,Shortage,13
INV000130,S001,SKU0130,2026-06-01,62,30,In Stock,32,51.61290322580645,Shortage,32
INV000131,S001,SKU0131,2026-06-01,80,80,In Stock,0,0.0,Healthy,0
INV000132,S001,SKU0132,2026-06-01,71,47,In Stock,24,33.80281690140845,Shortage,24
INV000133,S001,SKU0133,2026-06-01,64,25,In Stock,39,60.9375,Shortage,39
INV000134,S001,SKU0134,2026-06-01,76,59,In Stock,17,22.36842105263158,Shortage,17
INV000135,S001,SKU0135,2026-06-01,84,60,In Stock,24,28.57142857142857,Shortage,24
INV000136,S001,SKU0136,2026-06-01,38,22,In Stock,16,42.10526315789473,Shortage,16
INV000137,S001,SKU0137,2026-06-01,87,56,In Stock,31,35.63218390804598,Shortage,31
INV000138,S001,SKU0138,2026-06-01,68,45,In Stock,23,33.82352941176471,Shortage,23
INV000139,S001,SKU0139,2026-06-01,41,8,Low Stock,33,80.48780487804879,Shortage,33
INV000140,S001,SKU0140,2026-06-01,48,42,In Stock,6,12.5,Shortage,6
INV000141,S001,SKU0141,2026-06-01,25,0,Out of Stock,25,100.0,Shortage,25
INV000142,S001,SKU0142,2026-06-01,92,69,In Stock,23,25.0,Shortage,23
INV000143,S001,SKU0143,2026-06-01,76,73,In Stock,3,3.9473684210526314,Shortage,3
INV000144,S001,SKU0144,2026-06-01,94,72,In Stock,22,23.404255319148938,Shortage,22
INV000145,S001,SKU0145,2026-06-01,68,56,In Stock,12,17.647058823529413,Shortage,12
INV000146,S001,SKU0146,2026-06-01,76,41,In Stock,35,46.05263157894737,Shortage,35
INV000147,S001,SKU0147,2026-06-01,31,29,In Stock,2,6.451612903225806,Shortage,2
INV000148,S001,SKU0148,2026-06-01,39,36,In Stock,3,7.6923076923076925,Shortage,3
INV000149,S001,SKU0149,2026-06-01,96,89,In Stock,7,7.291666666666667,Shortage,7
INV000150,S001,SKU0150,2026-06-01,75,43,In Stock,32,42.66666666666667,Shortage,32
INV000151,S001,SKU0151,2026-06-01,71,47,In Stock,24,33.80281690140845,Shortage,24
INV000152,S001,SKU0152,2026-06-01,66,38,In Stock,28,42.42424242424242,Shortage,28
INV000153,S001,SKU0153,2026-06-01,32,0,Out of Stock,32,100.0,Shortage,32
INV000154,S001,SKU0154,2026-06-01,83,49,In Stock,34,40.963855421686745,Shortage,34
INV000155,S001,SKU0155,2026-06-01,54,15,In Stock,39,72.22222222222221,Shortage,39
INV000156,S001,SKU0156,2026-06-01,65,64,In Stock,1,1.5384615384615385,Shortage,1
INV000157,S001,SKU0157,2026-06-01,84,79,In Stock,5,5.952380952380952,Shortage,5
INV000158,S001,SKU0158,2026-06-01,31,14,In Stock,17,54.83870967741935,Shortage,17
INV000159,S001,SKU0159,2026-06-01,56,26,In Stock,30,53.57142857142857,Shortage,30
INV000160,S001,SKU0160,2026-06-01,49,40,In Stock,9,18.367346938775512,Shortage,9
INV000161,S001,SKU0161,2026-06-01,52,36,In Stock,16,30.76923076923077,Shortage,16
INV000162,S001,SKU0162,2026-06-01,40,22,In Stock,18,45.0,Shortage,18
INV000163,S001,SKU0163,2026-06-01,30,24,In Stock,6,20.0,Shortage,6
INV000164,S001,SKU0164,2026-06-01,82,76,In Stock,6,7.317073170731707,Shortage,6
INV000165,S001,SKU0165,2026-06-01,66,42,In Stock,24,36.36363636363637,Shortage,24
INV000166,S001,SKU0166,2026-06-01,31,20,In Stock,11,35.483870967741936,Shortage,11
INV000167,S001,SKU0167,2026-06-01,31,1,Low Stock,30,96.7741935483871,Shortage,30
INV000168,S001,SKU0168,2026-06-01,30,18,In Stock,12,40.0,Shortage,12
INV000169,S001,SKU0169,2026-06-01,57,45,In Stock,12,21.052631578947366,Shortage,12
INV000170,S001,SKU0170,2026-06-01,30,28,In Stock,2,6.666666666666667,Shortage,2
INV000171,S001,SKU0171,2026-06-01,82,56,In Stock,26,31.70731707317073,Shortage,26
INV000172,S001,SKU0172,2026-06-01,28,5,Low Stock,23,82.14285714285714,Shortage,23
INV000173,S001,SKU0173,2026-06-01,93,76,In Stock,17,18.27956989247312,Shortage,17
INV000174,S001,SKU0174,2026-06-01,58,49,In Stock,9,15.517241379310345,Shortage,9
INV000175,S001,SKU0175,2026-06-01,29,0,Out of Stock,29,100.0,Shortage,29
INV000176,S001,SKU0176,2026-06-01,20,0,Out of Stock,20,100.0,Shortage,20
INV000177,S001,SKU0177,2026-06-01,23,21,In Stock,2,8.695652173913043,Shortage,2
INV000178,S001,SKU0178,2026-06-01,21,0,Out of Stock,21,100.0,Shortage,21
INV000179,S001,SKU0179,2026-06-01,23,6,In Stock,17,73.91304347826086,Shortage,17
INV000180,S001,SKU0180,2026-06-01,89,75,In Stock,14,15.730337078651685,Shortage,14
INV000181,S001,SKU0181,2026-06-01,39,37,In Stock,2,5.128205128205128,Shortage,2
INV000182,S001,SKU0182,2026-06-01,79,40,In Stock,39,49.36708860759494,Shortage,39
INV000183,S001,SKU0183,2026-06-01,55,40,In Stock,15,27.27272727272727,Shortage,15
INV000184,S001,SKU0184,2026-06-01,78,41,In Stock,37,47.43589743589743,Shortage,37
INV000185,S001,SKU0185,2026-06-01,28,21,In Stock,7,25.0,Shortage,7
INV000186,S001,SKU0186,2026-06-01,51,26,In Stock,25,49.01960784313725,Shortage,25
INV000187,S001,SKU0187,2026-06-01,74,43,In Stock,31,41.891891891891895,Shortage,31
INV000188,S001,SKU0188,2026-06-01,74,48,In Stock,26,35.13513513513514,Shortage,26
INV000189,S001,SKU0189,2026-06-01,65,44,In Stock,21,32.30769230769231,Shortage,21
INV000190,S001,SKU0190,2026-06-01,49,43,In Stock,6,12.244897959183673,Shortage,6
INV000191,S001,SKU0191,2026-06-01,72,68,In Stock,4,5.555555555555555,Shortage,4
INV000192,S001,SKU0192,2026-06-01,95,60,In Stock,35,36.84210526315789,Shortage,35
INV000193,S001,SKU0193,2026-06-01,44,42,In Stock,2,4.545454545454546,Shortage,2
INV000194,S001,SKU0194,2026-06-01,70,38,In Stock,32,45.714285714285715,Shortage,32
INV000195,S001,SKU0195,2026-06-01,24,0,Out of Stock,24,100.0,Shortage,24
INV000196,S001,SKU0196,2026-06-01,54,33,In Stock,21,38.88888888888889,Shortage,21
INV000197,S001,SKU0197,2026-06-01,86,66,In Stock,20,23.25581395348837,Shortage,20
INV000198,S001,SKU0198,2026-06-01,97,81,In Stock,16,16.49484536082474,Shortage,16
INV000199,S001,SKU0199,2026-06-01,99,93,In Stock,6,6.0606060606060606,Shortage,6
INV000200,S001,SKU0200,2026-06-01,26,23,In Stock,3,11.538461538461538,Shortage,3
INV000201,S001,SKU0201,2026-06-01,50,37,In Stock,13,26.0,Shortage,13
INV000202,S001,SKU0202,2026-06-01,80,67,In Stock,13,16.25,Shortage,13
INV000203,S001,SKU0203,2026-06-01,91,74,In Stock,17,18.681318681318682,Shortage,17
INV000204,S001,SKU0204,2026-06-01,59,34,In Stock,25,42.3728813559322,Shortage,25
INV000205,S001,SKU0205,2026-06-01,73,48,In Stock,25,34.24657534246575,Shortage,25
INV000206,S001,SKU0206,2026-06-01,23,13,In Stock,10,43.47826086956522,Shortage,10
INV000207,S001,SKU0207,2026-06-01,44,24,In Stock,20,45.45454545454545,Shortage,20
INV000208,S001,SKU0208,2026-06-01,88,81,In Stock,7,7.954545454545454,Shortage,7
INV000209,S001,SKU0209,2026-06-01,43,41,In Stock,2,4.651162790697675,Shortage,2
INV000210,S001,SKU0210,2026-06-01,61,54,In Stock,7,11.475409836065573,Shortage,7
INV000211,S001,SKU0211,2026-06-01,94,94,In Stock,0,0.0,Healthy,0
INV000212,S001,SKU0212,2026-06-01,61,60,In Stock,1,1.639344262295082,Shortage,1
INV000213,S001,SKU0213,2026-06-01,31,29,In Stock,2,6.451612903225806,Shortage,2
INV000214,S001,SKU0214,2026-06-01,74,56,In Stock,18,24.324324324324326,Shortage,18
INV000215,S001,SKU0215,2026-06-01,93,73,In Stock,20,21.50537634408602,Shortage,20
INV000216,S001,SKU0216,2026-06-01,33,9,In Stock,24,72.72727272727273,Shortage,24
INV000217,S001,SKU0217,2026-06-01,65,36,In Stock,29,44.61538461538462,Shortage,29
INV000218,S001,SKU0218,2026-06-01,89,88,In Stock,1,1.1235955056179776,Shortage,1
INV000219,S001,SKU0219,2026-06-01,61,49,In Stock,12,19.672131147540984,Shortage,12
INV000220,S001,SKU0220,2026-06-01,89,68,In Stock,21,23.595505617977526,Shortage,21
INV000221,S001,SKU0221,2026-06-01,85,73,In Stock,12,14.117647058823529,Shortage,12
INV000222,S001,SKU0222,2026-06-01,31,21,In Stock,10,32.25806451612903,Shortage,10
INV000223,S001,SKU0223,2026-06-01,61,60,In Stock,1,1.639344262295082,Shortage,1
INV000224,S001,SKU0224,2026-06-01,46,26,In Stock,20,43.47826086956522,Shortage,20
INV000225,S001,SKU0225,2026-06-01,46,14,In Stock,32,69.56521739130434,Shortage,32
INV000226,S001,SKU0226,2026-06-01,26,22,In Stock,4,15.384615384615385,Shortage,4
INV000227,S001,SKU0227,2026-06-01,62,59,In Stock,3,4.838709677419355,Shortage,3
INV000228,S001,SKU0228,2026-06-01,22,0,Out of Stock,22,100.0,Shortage,22
INV000229,S001,SKU0229,2026-06-01,86,62,In Stock,24,27.906976744186046,Shortage,24
INV000230,S001,SKU0230,2026-06-01,39,23,In Stock,16,41.02564102564102,Shortage,16
INV000231,S001,SKU0231,2026-06-01,31,0,Out of Stock,31,100.0,Shortage,31
INV000232,S001,SKU0232,2026-06-01,21,0,Out of Stock,21,100.0,Shortage,21
INV000233,S001,SKU0233,2026-06-01,77,45,In Stock,32,41.55844155844156,Shortage,32
INV000234,S001,SKU0234,2026-06-01,64,46,In Stock,18,28.125,Shortage,18
INV000235,S001,SKU0235,2026-06-01,58,40,In Stock,18,31.03448275862069,Shortage,18
INV000236,S001,SKU0236,2026-06-01,60,49,In Stock,11,18.333333333333332,Shortage,11
INV000237,S001,SKU0237,2026-06-01,32,23,In Stock,9,28.125,Shortage,9
INV000238,S001,SKU0238,2026-06-01,72,66,In Stock,6,8.333333333333332,Shortage,6
INV000239,S001,SKU0239,2026-06-01,27,6,In Stock,21,77.77777777777779,Shortage,21
INV000240,S001,SKU0240,2026-06-01,97,72,In Stock,25,25.773195876288657,Shortage,25
INV000241,S001,SKU0241,2026-06-01,94,94,In Stock,0,0.0,Healthy,0
INV000242,S001,SKU0242,2026-06-01,69,30,In Stock,39,56.52173913043478,Shortage,39
INV000243,S001,SKU0243,2026-06-01,89,82,In Stock,7,7.865168539325842,Shortage,7
INV000244,S001,SKU0244,2026-06-01,95,75,In Stock,20,21.052631578947366,Shortage,20
INV000245,S001,SKU0245,2026-06-01,21,0,Out of Stock,21,100.0,Shortage,21
INV000246,S001,SKU0246,2026-06-01,69,59,In Stock,10,14.492753623188406,Shortage,10
INV000247,S001,SKU0247,2026-06-01,40,35,In Stock,5,12.5,Shortage,5
INV000248,S001,SKU0248,2026-06-01,79,67,In Stock,12,15.18987341772152,Shortage,12
INV000249,S001,SKU0249,2026-06-01,87,48,In Stock,39,44.827586206896555,Shortage,39
INV000250,S001,SKU0250,2026-06-01,84,57,In Stock,27,32.142857142857146,Shortage,27
INV000251,S001,SKU0251,2026-06-01,43,36,In Stock,7,16.27906976744186,Shortage,7
INV000252,S001,SKU0252,2026-06-01,84,72,In Stock,12,14.285714285714285,Shortage,12
INV000253,S001,SKU0253,2026-06-01,20,3,Low Stock,17,85.0,Shortage,17
INV000254,S001,SKU0254,2026-06-01,46,12,In Stock,34,73.91304347826086,Shortage,34
INV000255,S001,SKU0255,2026-06-01,44,34,In Stock,10,22.727272727272727,Shortage,10
INV000256,S001,SKU0256,2026-06-01,99,73,In Stock,26,26.262626262626267,Shortage,26
INV000257,S001,SKU0257,2026-06-01,40,32,In Stock,8,20.0,Shortage,8
INV000258,S001,SKU0258,2026-06-01,39,37,In Stock,2,5.128205128205128,Shortage,2
INV000259,S001,SKU0259,2026-06-01,30,0,Out of Stock,30,100.0,Shortage,30
INV000260,S001,SKU0260,2026-06-01,72,60,In Stock,12,16.666666666666664,Shortage,12
INV000261,S001,SKU0261,2026-06-01,98,89,In Stock,9,9.183673469387756,Shortage,9
INV000262,S001,SKU0262,2026-06-01,72,46,In Stock,26,36.11111111111111,Shortage,26
INV000263,S001,SKU0263,2026-06-01,95,83,In Stock,12,12.631578947368421,Shortage,12
INV000264,S001,SKU0264,2026-06-01,87,65,In Stock,22,25.287356321839084,Shortage,22
INV000265,S001,SKU0265,2026-06-01,85,58,In Stock,27,31.76470588235294,Shortage,27
INV000266,S001,SKU0266,2026-06-01,82,65,In Stock,17,20.73170731707317,Shortage,17
INV000267,S001,SKU0267,2026-06-01,73,60,In Stock,13,17.80821917808219,Shortage,13
INV000268,S001,SKU0268,2026-06-01,37,26,In Stock,11,29.72972972972973,Shortage,11
INV000269,S001,SKU0269,2026-06-01,41,21,In Stock,20,48.78048780487805,Shortage,20
INV000270,S001,SKU0270,2026-06-01,34,16,In Stock,18,52.94117647058824,Shortage,18
INV000271,S001,SKU0271,2026-06-01,58,26,In Stock,32,55.172413793103445,Shortage,32
INV000272,S001,SKU0272,2026-06-01,38,37,In Stock,1,2.631578947368421,Shortage,1
INV000273,S001,SKU0273,2026-06-01,93,75,In Stock,18,19.35483870967742,Shortage,18
INV000274,S001,SKU0274,2026-06-01,69,49,In Stock,20,28.985507246376812,Shortage,20
INV000275,S001,SKU0275,2026-06-01,68,52,In Stock,16,23.52941176470588,Shortage,16
INV000276,S001,SKU0276,2026-06-01,28,11,In Stock,17,60.71428571428571,Shortage,17
INV000277,S001,SKU0277,2026-06-01,66,45,In Stock,21,31.818181818181817,Shortage,21
INV000278,S001,SKU0278,2026-06-01,22,0,Out of Stock,22,100.0,Shortage,22
INV000279,S001,SKU0279,2026-06-01,59,28,In Stock,31,52.54237288135594,Shortage,31
INV000280,S001,SKU0280,2026-06-01,96,63,In Stock,33,34.375,Shortage,33
INV000281,S001,SKU0281,2026-06-01,86,63,In Stock,23,26.744186046511626,Shortage,23
INV000282,S001,SKU0282,2026-06-01,72,48,In Stock,24,33.33333333333333,Shortage,24
INV000283,S001,SKU0283,2026-06-01,78,69,In Stock,9,11.538461538461538,Shortage,9
INV000284,S001,SKU0284,2026-06-01,64,25,In Stock,39,60.9375,Shortage,39
INV000285,S001,SKU0285,2026-06-01,38,6,Low Stock,32,84.21052631578947,Shortage,32
INV000286,S001,SKU0286,2026-06-01,26,11,In Stock,15,57.692307692307686,Shortage,15
INV000287,S001,SKU0287,2026-06-01,71,38,In Stock,33,46.478873239436616,Shortage,33
INV000288,S001,SKU0288,2026-06-01,78,53,In Stock,25,32.05128205128205,Shortage,25
INV000289,S001,SKU0289,2026-06-01,43,11,In Stock,32,74.4186046511628,Shortage,32
INV000290,S001,SKU0290,2026-06-01,55,39,In Stock,16,29.09090909090909,Shortage,16
INV000291,S001,SKU0291,2026-06-01,82,48,In Stock,34,41.46341463414634,Shortage,34
INV000292,S001,SKU0292,2026-06-01,98,65,In Stock,33,33.6734693877551,Shortage,33
INV000293,S001,SKU0293,2026-06-01,93,67,In Stock,26,27.956989247311824,Shortage,26
INV000294,S001,SKU0294,2026-06-01,39,5,Low Stock,34,87.17948717948718,Shortage,34
INV000295,S001,SKU0295,2026-06-01,46,9,Low Stock,37,80.43478260869566,Shortage,37
INV000296,S001,SKU0296,2026-06-01,80,68,In Stock,12,15.0,Shortage,12
INV000297,S001,SKU0297,2026-06-01,27,6,In Stock,21,77.77777777777779,Shortage,21
INV000298,S001,SKU0298,2026-06-01,78,70,In Stock,8,10.256410256410255,Shortage,8
