audit_id,audit_date,store_id,sku_id,expected_qty,detected_qty,visibility_score,shelf_compliance,audit_issue
AUD000059,2026-06-01,S001,SKU0059,22,12,54.55,Compliant,None
AUD000060,2026-06-01,S001,SKU0060,22,11,50.0,Compliant,None
AUD000061,2026-06-01,S001,SKU0061,14,6,42.86,Non-Compliant,Low Visibility
AUD000062,2026-06-01,S001,SKU0062,37,37,100.0,Compliant,None
AUD000063,2026-06-01,S001,SKU0063,21,5,23.81,Non-Compliant,Low Visibility
AUD000064,2026-06-01,S001,SKU0064,12,0,0.0,Non-Compliant,Stock Out
AUD000065,2026-06-01,S001,SKU0065,28,15,53.57,Compliant,None
AUD000066,2026-06-01,S001,SKU0066,26,20,76.92,Non-Compliant,Misplaced Product
AUD000067,2026-06-01,S001,SKU0067,31,16,51.61,Compliant,None
AUD000068,2026-06-01,S001,SKU0068,27,8,29.63,Non-Compliant,Low Visibility
AUD000069,2026-06-01,S001,SKU0069,18,11,61.11,Compliant,None
AUD000070,2026-06-01,S001,SKU0070,11,7,63.64,Compliant,None
AUD000071,2026-06-01,S001,SKU0071,26,16,61.54,Compliant,None
AUD000072,2026-06-01,S001,SKU0072,27,13,48.15,Non-Compliant,Low Visibility
AUD000073,2026-06-01,S001,SKU0073,14,10,71.43,Compliant,None
AUD000074,2026-06-01,S001,SKU0074,29,12,41.38,Non-Compliant,Low Visibility
AUD000075,2026-06-01,S001,SKU0075,19,16,84.21,Compliant,None
AUD000076,2026-06-01,S001,SKU0076,35,32,91.43,Compliant,None
AUD000077,2026-06-01,S001,SKU0077,32,25,78.12,Compliant,None
AUD000078,2026-06-01,S001,SKU0078,18,0,0.0,Non-Compliant,Stock Out
AUD000079,2026-06-01,S001,SKU0079,29,17,58.62,Non-Compliant,Misplaced Product
AUD000080,2026-06-01,S001,SKU0080,22,13,59.09,Compliant,None
AUD000081,2026-06-01,S001,SKU0081,37,28,75.68,Compliant,None
AUD000082,2026-06-01,S001,SKU0082,27,25,92.59,Compliant,None
AUD000083,2026-06-01,S001,SKU0083,24,13,54.17,Compliant,None
AUD000084,2026-06-01,S001,SKU0084,29,10,34.48,Non-Compliant,Low Visibility
AUD000085,2026-06-01,S001,SKU0085,14,10,71.43,Non-Compliant,Misplaced Product
AUD000086,2026-06-01,S001,SKU0086,26,11,42.31,Non-Compliant,Low Visibility
AUD000087,2026-06-01,S001,SKU0087,26,21,80.77,Compliant,None
AUD000088,2026-06-01,S001,SKU0088,35,27,77.14,Compliant,None
AUD000089,2026-06-01,S001,SKU0089,28,16,57.14,Compliant,None
AUD000090,2026-06-01,S001,SKU0090,27,14,51.85,Compliant,None
AUD000091,2026-06-01,S001,SKU0091,14,0,0.0,Non-Compliant,Stock Out
AUD000092,2026-06-01,S001,SKU0092,27,20,74.07,Compliant,None
AUD000093,2026-06-01,S001,SKU0093,12,0,0.0,Non-Compliant,Stock Out
AUD000094,2026-06-01,S001,SKU0094,31,20,64.52,Compliant,None
AUD000095,2026-06-01,S001,SKU0095,31,25,80.65,Compliant,None
AUD000096,2026-06-01,S001,SKU0096,22,14,63.64,Compliant,None
AUD000097,2026-06-01,S001,SKU0097,38,23,60.53,Compliant,None
AUD000098,2026-06-01,S001,SKU0098,33,25,75.76,Compliant,None
AUD000099,2026-06-01,S001,SKU0099,19,16,84.21,Compliant,None
AUD000100,2026-06-01,S001,SKU0100,24,15,62.5,Compliant,None
AUD000101,2026-06-01,S001,SKU0101,19,15,78.95,Non-Compliant,Misplaced Product
AUD000102,2026-06-01,S001,SKU0102,29,23,79.31,Non-Compliant,Misplaced Product
AUD000103,2026-06-01,S001,SKU0103,34,33,97.06,Compliant,None
AUD000104,2026-06-01,S001,SKU0104,35,16,45.71,Non-Compliant,Low Visibility
AUD000105,2026-06-01,S001,SKU0105,22,9,40.91,Non-Compliant,Low Visibility
AUD000106,2026-06-01,S001,SKU0106,38,19,50.0,Non-Compliant,Misplaced Product
AUD000107,2026-06-01,S001,SKU0107,11,3,27.27,Non-Compliant,Low Visibility
AUD000108,2026-06-01,S001,SKU0108,16,9,56.25,Compliant,None
AUD000109,2026-06-01,S001,SKU0109,16,2,12.5,Non-Compliant,Low Visibility
AUD000110,2026-06-01,S001,SKU0110,25,22,88.0,Compliant,None
AUD000111,2026-06-01,S001,SKU0111,32,13,40.62,Non-Compliant,Low Visibility
AUD000112,2026-06-01,S001,SKU0112,17,6,35.29,Non-Compliant,Low Visibility
AUD000113,2026-06-01,S001,SKU0113,15,7,46.67,Non-Compliant,Low Visibility
AUD000114,2026-06-01,S001,SKU0114,33,18,54.55,Compliant,None
AUD000115,2026-06-01,S001,SKU0115,27,13,48.15,Non-Compliant,Low Visibility
AUD000116,2026-06-01,S001,SKU0116,14,10,71.43,Compliant,None
AUD000117,2026-06-01,S001,SKU0117,38,21,55.26,Compliant,None
AUD000118,2026-06-01,S001,SKU0118,26,16,61.54,Compliant,None
AUD000119,2026-06-01,S001,SKU0119,22,20,90.91,Compliant,None
AUD000120,2026-06-01,S001,SKU0120,16,4,25.0,Non-Compliant,Low Visibility
AUD000121,2026-06-01,S001,SKU0121,30,25,83.33,Compliant,None
AUD000122,2026-06-01,S001,SKU0122,28,28,100.0,Compliant,None
AUD000123,2026-06-01,S001,SKU0123,13,1,7.69,Non-Compliant,Low Visibility
AUD000124,2026-06-01,S001,SKU0124,31,15,48.39,Non-Compliant,Low Visibility
AUD000125,2026-06-01,S001,SKU0125,33,29,87.88,Compliant,None
AUD000126,2026-06-01,S001,SKU0126,33,28,84.85,Compliant,None
AUD000127,2026-06-01,S001,SKU0127,28,24,85.71,Compliant,None
AUD000128,2026-06-01,S001,SKU0128,22,16,72.73,Compliant,None
AUD000129,2026-06-01,S001,SKU0129,36,30,83.33,Compliant,None
AUD000130,2026-06-01,S001,SKU0130,30,22,73.33,Compliant,None
AUD000131,2026-06-01,S001,SKU0131,23,13,56.52,Compliant,None
AUD000132,2026-06-01,S001,SKU0132,37,23,62.16,Compliant,None
AUD000133,2026-06-01,S001,SKU0133,16,15,93.75,Compliant,None
AUD000134,2026-06-01,S001,SKU0134,27,15,55.56,Compliant,None
AUD000135,2026-06-01,S001,SKU0135,18,16,88.89,Compliant,None
AUD000136,2026-06-01,S001,SKU0136,38,24,63.16,Compliant,None
AUD000137,2026-06-01,S001,SKU0137,24,23,95.83,Non-Compliant,Misplaced Product
AUD000138,2026-06-01,S001,SKU0138,25,6,24.0,Non-Compliant,Low Visibility
AUD000139,2026-06-01,S001,SKU0139,34,32,94.12,Compliant,None
AUD000140,2026-06-01,S001,SKU0140,30,23,76.67,Compliant,None
AUD000141,2026-06-01,S001,SKU0141,34,19,55.88,Compliant,None
AUD000142,2026-06-01,S001,SKU0142,37,19,51.35,Compliant,None
AUD000143,2026-06-01,S001,SKU0143,27,26,96.3,Compliant,None
AUD000144,2026-06-01,S001,SKU0144,27,23,85.19,Compliant,None
AUD000145,2026-06-01,S001,SKU0145,37,33,89.19,Compliant,None
AUD000146,2026-06-01,S001,SKU0146,26,7,26.92,Non-Compliant,Low Visibility
AUD000147,2026-06-01,S001,SKU0147,36,35,97.22,Compliant,None
AUD000148,2026-06-01,S001,SKU0148,33,22,66.67,Compliant,None
AUD000149,2026-06-01,S001,SKU0149,10,5,50.0,Compliant,None
AUD000150,2026-06-01,S001,SKU0150,13,0,0.0,Non-Compliant,Stock Out
AUD000151,2026-06-01,S001,SKU0151,13,13,100.0,Compliant,None
AUD000152,2026-06-01,S001,SKU0152,34,19,55.88,Compliant,None
AUD000153,2026-06-01,S001,SKU0153,24,17,70.83,Compliant,None
AUD000154,2026-06-01,S001,SKU0154,27,20,74.07,Compliant,None
AUD000155,2026-06-01,S001,SKU0155,31,17,54.84,Compliant,None
AUD000156,2026-06-01,S001,SKU0156,26,9,34.62,Non-Compliant,Low Visibility
AUD000157,2026-06-01,S001,SKU0157,16,11,68.75,Compliant,None
AUD000158,2026-06-01,S001,SKU0158,15,6,40.0,Non-Compliant,Low Visibility
AUD000159,2026-06-01,S001,SKU0159,28,26,92.86,Compliant,None
AUD000160,2026-06-01,S001,SKU0160,26,9,34.62,Non-Compliant,Low Visibility
AUD000161,2026-06-01,S001,SKU0161,24,21,87.5,Compliant,None
AUD000162,2026-06-01,S001,SKU0162,19,2,10.53,Non-Compliant,Low Visibility
AUD000163,2026-06-01,S001,SKU0163,32,25,78.12,Compliant,None
AUD000164,2026-06-01,S001,SKU0164,10,5,50.0,Compliant,None
AUD000165,2026-06-01,S001,SKU0165,23,6,26.09,Non-Compliant,Low Visibility
AUD000166,2026-06-01,S001,SKU0166,35,32,91.43,Compliant,None
AUD000167,2026-06-01,S001,SKU0167,31,29,93.55,Compliant,None
AUD000168,2026-06-01,S001,SKU0168,26,14,53.85,Compliant,None
AUD000169,2026-06-01,S001,SKU0169,11,6,54.55,Compliant,None
AUD000170,2026-06-01,S001,SKU0170,33,30,90.91,Compliant,None
AUD000171,2026-06-01,S001,SKU0171,19,1,5.26,Non-Compliant,Low Visibility
AUD000172,2026-06-01,S001,SKU0172,27,23,85.19,Compliant,None
AUD000173,2026-06-01,S001,SKU0173,11,0,0.0,Non-Compliant,Stock Out
AUD000174,2026-06-01,S001,SKU0174,23,11,47.83,Non-Compliant,Low Visibility
AUD000175,2026-06-01,S001,SKU0175,15,13,86.67,Compliant,None
AUD000176,2026-06-01,S001,SKU0176,22,7,31.82,Non-Compliant,Low Visibility
AUD000177,2026-06-01,S001,SKU0177,10,9,90.0,Compliant,None
AUD000178,2026-06-01,S001,SKU0178,21,11,52.38,Compliant,None
AUD000179,2026-06-01,S001,SKU0179,13,13,100.0,Compliant,None
AUD000180,2026-06-01,S001,SKU0180,16,3,18.75,Non-Compliant,Low Visibility
AUD000181,2026-06-01,S001,SKU0181,30,20,66.67,Compliant,None
AUD000182,2026-06-01,S001,SKU0182,27,20,74.07,Compliant,None
AUD000183,2026-06-01,S001,SKU0183,15,3,20.0,Non-Compliant,Low Visibility
AUD000184,2026-06-01,S001,SKU0184,38,20,52.63,Compliant,None
AUD000185,2026-06-01,S001,SKU0185,13,0,0.0,Non-Compliant,Stock Out
AUD000186,2026-06-01,S001,SKU0186,34,32,94.12,Compliant,None
AUD000187,2026-06-01,S001,SKU0187,19,15,78.95,Compliant,None
AUD000188,2026-06-01,S001,SKU0188,17,11,64.71,Compliant,None
AUD000189,2026-06-01,S001,SKU0189,31,21,67.74,Compliant,None
AUD000190,2026-06-01,S001,SKU0190,19,9,47.37,Non-Compliant,Low Visibility
AUD000191,2026-06-01,S001,SKU0191,23,12,52.17,Compliant,None
AUD000192,2026-06-01,S001,SKU0192,24,21,87.5,Compliant,None
AUD000193,2026-06-01,S001,SKU0193,31,21,67.74,Compliant,None
AUD000194,2026-06-01,S001,SKU0194,19,6,31.58,Non-Compliant,Low Visibility
AUD000195,2026-06-01,S001,SKU0195,25,15,60.0,Compliant,None
AUD000196,2026-06-01,S001,SKU0196,23,20,86.96,Compliant,None
AUD000197,2026-06-01,S001,SKU0197,10,0,0.0,Non-Compliant,Stock Out
AUD000198,2026-06-01,S001,SKU0198,15,13,86.67,Compliant,None
AUD000199,2026-06-01,S001,SKU0199,12,0,0.0,Non-Compliant,Stock Out
AUD000200,2026-06-01,S001,SKU0200,22,3,13.64,Non-Compliant,Low Visibility
AUD000201,2026-06-01,S001,SKU0201,27,25,92.59,Compliant,None
AUD000202,2026-06-01,S001,SKU0202,36,20,55.56,Compliant,None
AUD000203,2026-06-01,S001,SKU0203,35,21,60.0,Compliant,None
AUD000204,2026-06-01,S001,SKU0204,36,17,47.22,Non-Compliant,Low Visibility
AUD000205,2026-06-01,S001,SKU0205,10,0,0.0,Non-Compliant,Stock Out
AUD000206,2026-06-01,S001,SKU0206,25,8,32.0,Non-Compliant,Low Visibility
AUD000207,2026-06-01,S001,SKU0207,37,19,51.35,Compliant,None
AUD000208,2026-06-01,S001,SKU0208,11,3,27.27,Non-Compliant,Low Visibility
AUD000209,2026-06-01,S001,SKU0209,26,21,80.77,Compliant,None
AUD000210,2026-06-01,S001,SKU0210,15,14,93.33,Compliant,None
AUD000211,2026-06-01,S001,SKU0211,34,34,100.0,Compliant,None
AUD000212,2026-06-01,S001,SKU0212,14,0,0.0,Non-Compliant,Stock Out
AUD000213,2026-06-01,S001,SKU0213,28,20,71.43,Compliant,None
AUD000214,2026-06-01,S001,SKU0214,14,0,0.0,Non-Compliant,Stock Out
AUD000215,2026-06-01,S001,SKU0215,14,12,85.71,Compliant,None
AUD000216,2026-06-01,S001,SKU0216,21,19,90.48,Compliant,None
AUD000217,2026-06-01,S001,SKU0217,33,14,42.42,Non-Compliant,Low Visibility
AUD000218,2026-06-01,S001,SKU0218,24,11,45.83,Non-Compliant,Low Visibility
AUD000219,2026-06-01,S001,SKU0219,35,21,60.0,Compliant,None
AUD000220,2026-06-01,S001,SKU0220,35,16,45.71,Non-Compliant,Low Visibility
AUD000221,2026-06-01,S001,SKU0221,20,17,85.0,Compliant,None
AUD000222,2026-06-01,S001,SKU0222,26,26,100.0,Compliant,None
AUD000223,2026-06-01,S001,SKU0223,28,17,60.71,Compliant,None
AUD000224,2026-06-01,S001,SKU0224,14,9,64.29,Compliant,None
AUD000225,2026-06-01,S001,SKU0225,17,9,52.94,Compliant,None
AUD000226,2026-06-01,S001,SKU0226,27,18,66.67,Compliant,None
AUD000227,2026-06-01,S001,SKU0227,26,17,65.38,Compliant,None
AUD000228,2026-06-01,S001,SKU0228,20,4,20.0,Non-Compliant,Low Visibility
AUD000229,2026-06-01,S001,SKU0229,15,8,53.33,Compliant,None
AUD000230,2026-06-01,S001,SKU0230,10,0,0.0,Non-Compliant,Stock Out
AUD000231,2026-06-01,S001,SKU0231,17,17,100.0,Compliant,None
AUD000232,2026-06-01,S001,SKU0232,12,8,66.67,Compliant,None
AUD000233,2026-06-01,S001,SKU0233,26,11,42.31,Non-Compliant,Low Visibility
AUD000234,2026-06-01,S001,SKU0234,39,20,51.28,Compliant,None
AUD000235,2026-06-01,S001,SKU0235,16,4,25.0,Non-Compliant,Low Visibility
AUD000236,2026-06-01,S001,SKU0236,15,0,0.0,Non-Compliant,Stock Out
AUD000237,2026-06-01,S001,SKU0237,39,21,53.85,Compliant,None
AUD000238,2026-06-01,S001,SKU0238,20,6,30.0,Non-Compliant,Low Visibility
AUD000239,2026-06-01,S001,SKU0239,22,21,95.45,Compliant,None
AUD000240,2026-06-01,S001,SKU0240,29,12,41.38,Non-Compliant,Low Visibility
AUD000241,2026-06-01,S001,SKU0241,28,28,100.0,Compliant,None
AUD000242,2026-06-01,S001,SKU0242,25,11,44.0,Non-Compliant,Low Visibility
AUD000243,2026-06-01,S001,SKU0243,10,7,70.0,Compliant,None
AUD000244,2026-06-01,S001,SKU0244,14,10,71.43,Compliant,None
AUD000245,2026-06-01,S001,SKU0245,16,3,18.75,Non-Compliant,Low Visibility
AUD000246,2026-06-01,S001,SKU0246,21,12,57.14,Compliant,None
AUD000247,2026-06-01,S001,SKU0247,19,15,78.95,Compliant,None
AUD000248,2026-06-01,S001,SKU0248,31,16,51.61,Compliant,None
AUD000249,2026-06-01,S001,SKU0249,11,0,0.0,Non-Compliant,Stock Out
AUD000250,2026-06-01,S001,SKU0250,39,38,97.44,Compliant,None
AUD000251,2026-06-01,S001,SKU0251,29,29,100.0,Compliant,None
AUD000252,2026-06-01,S001,SKU0252,27,27,100.0,Compliant,None
AUD000253,2026-06-01,S001,SKU0253,34,23,67.65,Compliant,None
AUD000254,2026-06-01,S001,SKU0254,26,8,30.77,Non-Compliant,Low Visibility
AUD000255,2026-06-01,S001,SKU0255,18,16,88.89,Compliant,None
AUD000256,2026-06-01,S001,SKU0256,10,3,30.0,Non-Compliant,Low Visibility
AUD000257,2026-06-01,S001,SKU0257,24,8,33.33,Non-Compliant,Low Visibility
AUD000258,2026-06-01,S001,SKU0258,38,22,57.89,Non-Compliant,Misplaced Product
AUD000259,2026-06-01,S001,SKU0259,28,16,57.14,Compliant,None
AUD000260,2026-06-01,S001,SKU0260,21,21,100.0,Compliant,None
AUD000261,2026-06-01,S001,SKU0261,35,16,45.71,Non-Compliant,Low Visibility
AUD000262,2026-06-01,S001,SKU0262,19,6,31.58,Non-Compliant,Low Visibility
AUD000263,2026-06-01,S001,SKU0263,13,5,38.46,Non-Compliant,Low Visibility
AUD000264,2026-06-01,S001,SKU0264,30,20,66.67,Compliant,None
AUD000265,2026-06-01,S001,SKU0265,12,12,100.0,Compliant,None
AUD000266,2026-06-01,S001,SKU0266,10,0,0.0,Non-Compliant,Stock Out
AUD000267,2026-06-01,S001,SKU0267,37,21,56.76,Compliant,None
AUD000268,2026-06-01,S001,SKU0268,27,16,59.26,Compliant,None
AUD000269,2026-06-01,S001,SKU0269,29,12,41.38,Non-Compliant,Low Visibility
AUD000270,2026-06-01,S001,SKU0270,13,12,92.31,Compliant,None
AUD000271,2026-06-01,S001,SKU0271,34,22,64.71,Compliant,None
AUD000272,2026-06-01,S001,SKU0272,32,31,96.88,Compliant,None
AUD000273,2026-06-01,S001,SKU0273,30,14,46.67,Non-Compliant,Low Visibility
AUD000274,2026-06-01,S001,SKU0274,22,12,54.55,Compliant,None
AUD000275,2026-06-01,S001,SKU0275,23,7,30.43,Non-Compliant,Low Visibility
AUD000276,2026-06-01,S001,SKU0276,11,10,90.91,Compliant,None
AUD000277,2026-06-01,S001,SKU0277,15,0,0.0,Non-Compliant,Stock Out
AUD000278,2026-06-01,S001,SKU0278,28,16,57.14,Compliant,None
AUD000279,2026-06-01,S001,SKU0279,19,12,63.16,Compliant,None
AUD000280,2026-06-01,S001,SKU0280,29,22,75.86,Compliant,None
AUD000281,2026-06-01,S001,SKU0281,22,20,90.91,Compliant,None
AUD000282,2026-06-01,S001,SKU0282,35,24,68.57,Compliant,None
AUD000283,2026-06-01,S001,SKU0283,31,15,48.39,Non-Compliant,Low Visibility
AUD000284,2026-06-01,S001,SKU0284,39,23,58.97,Compliant,None
AUD000285,2026-06-01,S001,SKU0285,38,29,76.32,Compliant,None
AUD000286,2026-06-01,S001,SKU0286,20,7,35.0,Non-Compliant,Low Visibility
AUD000287,2026-06-01,S001,SKU0287,20,19,95.0,Compliant,None
AUD000288,2026-06-01,S001,SKU0288,36,26,72.22,Compliant,None
AUD000289,2026-06-01,S001,SKU0289,36,22,61.11,Compliant,None
AUD000290,2026-06-01,S001,SKU0290,33,22,66.67,Compliant,None
AUD000291,2026-06-01,S001,SKU0291,37,23,62.16,Compliant,None
AUD000292,2026-06-01,S001,SKU0292,30,28,93.33,Compliant,None
AUD000293,2026-06-01,S001,SKU0293,24,11,45.83,Non-Compliant,Low Visibility
AUD000294,2026-06-01,S001,SKU0294,39,32,82.05,Compliant,None
AUD000295,2026-06-01,S001,SKU0295,20,10,50.0,Compliant,None
AUD000296,2026-06-01,S001,SKU0296,22,20,90.91,Compliant,None
AUD000297,2026-06-01,S001,SKU0297,35,33,94.29,Compliant,None
AUD000298,2026-06-01,S001,SKU0298,38,38,100.0,Compliant,None
AUD000299,2026-06-01,S001,SKU0299,21,8,38.1,Non-Compliant,Low Visibility
AUD000300,2026-06-01,S001,SKU0300,33,31,93.94,Compliant,None
AUD000301,2026-06-01,S001,SKU0301,19,11,57.89,Compliant,None
AUD000302,2026-06-01,S001,SKU0302,31,23,74.19,Compliant,None
AUD000303,2026-06-01,S001,SKU0303,37,34,91.89,Compliant,None
AUD000304,2026-06-01,S001,SKU0304,30,23,76.67,Compliant,None
AUD000305,2026-06-01,S001,SKU0305,37,35,94.59,Compliant,None
AUD000306,2026-06-01,S001,SKU0306,16,5,31.25,Non-Compliant,Low Visibility
AUD000307,2026-06-01,S001,SKU0307,25,25,100.0,Compliant,None
AUD000308,2026-06-01,S001,SKU0308,31,31,100.0,Compliant,None
AUD000309,2026-06-01,S001,SKU0309,23,12,52.17,Compliant,None
AUD000310,2026-06-01,S001,SKU0310,36,30,83.33,Compliant,None
AUD000311,2026-06-01,S001,SKU0311,22,4,18.18,Non-Compliant,Low Visibility
AUD000312,2026-06-01,S001,SKU0312,15,0,0.0,Non-Compliant,Stock Out
AUD000313,2026-06-01,S001,SKU0313,38,27,71.05,Compliant,None
AUD000314,2026-06-01,S001,SKU0314,14,1,7.14,Non-Compliant,Low Visibility
AUD000315,2026-06-01,S001,SKU0315,37,21,56.76,Compliant,None
AUD000316,2026-06-01,S001,SKU0316,23,14,60.87,Compliant,None
AUD000317,2026-06-01,S001,SKU0317,31,13,41.94,Non-Compliant,Low Visibility
AUD000318,2026-06-01,S001,SKU0318,21,8,38.1,Non-Compliant,Low Visibility
AUD000319,2026-06-01,S001,SKU0319,31,19,61.29,Compliant,None
AUD000320,2026-06-01,S001,SKU0320,25,8,32.0,Non-Compliant,Low Visibility
AUD000321,2026-06-01,S001,SKU0321,21,15,71.43,Compliant,None
AUD000322,2026-06-01,S001,SKU0322,30,29,96.67,Compliant,None
AUD000323,2026-06-01,S001,SKU0323,34,21,61.76,Non-Compliant,Misplaced Product
AUD000324,2026-06-01,S001,SKU0324,38,38,100.0,Compliant,None
AUD000325,2026-06-01,S001,SKU0325,38,29,76.32,Compliant,None
AUD000326,2026-06-01,S001,SKU0326,27,27,100.0,Compliant,None
AUD000327,2026-06-01,S001,SKU0327,33,16,48.48,Non-Compliant,Low Visibility
AUD000328,2026-06-01,S001,SKU0328,37,20,54.05,Compliant,None
AUD000329,2026-06-01,S001,SKU0329,34,22,64.71,Compliant,None
AUD000330,2026-06-01,S001,SKU0330,25,9,36.0,Non-Compliant,Low Visibility
AUD000331,2026-06-01,S001,SKU0331,29,25,86.21,Compliant,None
AUD000332,2026-06-01,S001,SKU0332,33,18,54.55,Compliant,None
AUD000333,2026-06-01,S001,SKU0333,15,5,33.33,Non-Compliant,Low Visibility
AUD000334,2026-06-01,S001,SKU0334,13,10,76.92,Compliant,None
AUD000335,2026-06-01,S001,SKU0335,24,6,25.0,Non-Compliant,Low Visibility
AUD000336,2026-06-01,S001,SKU0336,16,2,12.5,Non-Compliant,Low Visibility
AUD000337,2026-06-01,S001,SKU0337,13,4,30.77,Non-Compliant,Low Visibility
AUD000338,2026-06-01,S001,SKU0338,38,26,68.42,Compliant,None
AUD000339,2026-06-01,S001,SKU0339,35,19,54.29,Compliant,None
AUD000340,2026-06-01,S001,SKU0340,22,3,13.64,Non-Compliant,Low Visibility
AUD000341,2026-06-01,S001,SKU0341,32,20,62.5,Compliant,None
AUD000342,2026-06-01,S001,SKU0342,14,10,71.43,Compliant,None
AUD000343,2026-06-01,S001,SKU0343,27,8,29.63,Non-Compliant,Low Visibility
AUD000344,2026-06-01,S001,SKU0344,20,11,55.0,Compliant,None
AUD000345,2026-06-01,S001,SKU0345,31,24,77.42,Compliant,None
AUD000346,2026-06-01,S001,SKU0346,32,22,68.75,Compliant,None
AUD000347,2026-06-01,S001,SKU0347,37,23,62.16,Compliant,None
AUD000348,2026-06-01,S001,SKU0348,12,10,83.33,Compliant,None
AUD000349,2026-06-01,S001,SKU0349,11,0,0.0,Non-Compliant,Stock Out
