inventory_id,store_id,sku_id,inventory_date,expected_stock,actual_stock,stock_status
INV000118,S001,SKU0118,2026-06-01,80,52,In Stock
INV000119,S001,SKU0119,2026-06-01,75,65,In Stock
INV000120,S001,SKU0120,2026-06-01,67,42,In Stock
INV000121,S001,SKU0121,2026-06-01,50,50,In Stock
INV000122,S001,SKU0122,2026-06-01,58,21,In Stock
INV000123,S001,SKU0123,2026-06-01,88,88,In Stock
INV000124,S001,SKU0124,2026-06-01,31,3,Low Stock
INV000125,S001,SKU0125,2026-06-01,93,87,In Stock
INV000126,S001,SKU0126,2026-06-01,22,20,In Stock
INV000127,S001,SKU0127,2026-06-01,27,5,Low Stock
INV000128,S001,SKU0128,2026-06-01,97,80,In Stock
INV000129,S001,SKU0129,2026-06-01,42,29,In Stock
INV000130,S001,SKU0130,2026-06-01,62,30,In Stock
INV000131,S001,SKU0131,2026-06-01,80,80,In Stock
INV000132,S001,SKU0132,2026-06-01,71,47,In Stock
INV000133,S001,SKU0133,2026-06-01,64,25,In Stock
INV000134,S001,SKU0134,2026-06-01,76,59,In Stock
INV000135,S001,SKU0135,2026-06-01,84,60,In Stock
INV000136,S001,SKU0136,2026-06-01,38,22,In Stock
INV000137,S001,SKU0137,2026-06-01,87,56,In Stock
INV000138,S001,SKU0138,2026-06-01,68,45,In Stock
INV000139,S001,SKU0139,2026-06-01,41,8,Low Stock
INV000140,S001,SKU0140,2026-06-01,48,42,In Stock
INV000141,S001,SKU0141,2026-06-01,25,0,Out of Stock
INV000142,S001,SKU0142,2026-06-01,92,69,In Stock
INV000143,S001,SKU0143,2026-06-01,76,73,In Stock
INV000144,S001,SKU0144,2026-06-01,94,72,In Stock
INV000145,S001,SKU0145,2026-06-01,68,56,In Stock
INV000146,S001,SKU0146,2026-06-01,76,41,In Stock
INV000147,S001,SKU0147,2026-06-01,31,29,In Stock
INV000148,S001,SKU0148,2026-06-01,39,36,In Stock
INV000149,S001,SKU0149,2026-06-01,96,89,In Stock
INV000150,S001,SKU0150,2026-06-01,75,43,In Stock
INV000151,S001,SKU0151,2026-06-01,71,47,In Stock
INV000152,S001,SKU0152,2026-06-01,66,38,In Stock
INV000153,S001,SKU0153,2026-06-01,32,0,Out of Stock
INV000154,S001,SKU0154,2026-06-01,83,49,In Stock
INV000155,S001,SKU0155,2026-06-01,54,15,In Stock
INV000156,S001,SKU0156,2026-06-01,65,64,In Stock
INV000157,S001,SKU0157,2026-06-01,84,79,In Stock
INV000158,S001,SKU0158,2026-06-01,31,14,In Stock
INV000159,S001,SKU0159,2026-06-01,56,26,In Stock
INV000160,S001,SKU0160,2026-06-01,49,40,In Stock
INV000161,S001,SKU0161,2026-06-01,52,36,In Stock
INV000162,S001,SKU0162,2026-06-01,40,22,In Stock
INV000163,S001,SKU0163,2026-06-01,30,24,In Stock
INV000164,S001,SKU0164,2026-06-01,82,76,In Stock
INV000165,S001,SKU0165,2026-06-01,66,42,In Stock
INV000166,S001,SKU0166,2026-06-01,31,20,In Stock
INV000167,S001,SKU0167,2026-06-01,31,1,Low Stock
INV000168,S001,SKU0168,2026-06-01,30,18,In Stock
INV000169,S001,SKU0169,2026-06-01,57,45,In Stock
INV000170,S001,SKU0170,2026-06-01,30,28,In Stock
INV000171,S001,SKU0171,2026-06-01,82,56,In Stock
INV000172,S001,SKU0172,2026-06-01,28,5,Low Stock
INV000173,S001,SKU0173,2026-06-01,93,76,In Stock
INV000174,S001,SKU0174,2026-06-01,58,49,In Stock
INV000175,S001,SKU0175,2026-06-01,29,0,Out of Stock
INV000176,S001,SKU0176,2026-06-01,20,0,Out of Stock
INV000177,S001,SKU0177,2026-06-01,23,21,In Stock
INV000178,S001,SKU0178,2026-06-01,21,0,Out of Stock
INV000179,S001,SKU0179,2026-06-01,23,6,In Stock
INV000180,S001,SKU0180,2026-06-01,89,75,In Stock
INV000181,S001,SKU0181,2026-06-01,39,37,In Stock
INV000182,S001,SKU0182,2026-06-01,79,40,In Stock
INV000183,S001,SKU0183,2026-06-01,55,40,In Stock
INV000184,S001,SKU0184,2026-06-01,78,41,In Stock
INV000185,S001,SKU0185,2026-06-01,28,21,In Stock
INV000186,S001,SKU0186,2026-06-01,51,26,In Stock
INV000187,S001,SKU0187,2026-06-01,74,43,In Stock
INV000188,S001,SKU0188,2026-06-01,74,48,In Stock
INV000189,S001,SKU0189,2026-06-01,65,44,In Stock
INV000190,S001,SKU0190,2026-06-01,49,43,In Stock
INV000191,S001,SKU0191,2026-06-01,72,68,In Stock
INV000192,S001,SKU0192,2026-06-01,95,60,In Stock
INV000193,S001,SKU0193,2026-06-01,44,42,In Stock
INV000194,S001,SKU0194,2026-06-01,70,38,In Stock
INV000195,S001,SKU0195,2026-06-01,24,0,Out of Stock
INV000196,S001,SKU0196,2026-06-01,54,33,In Stock
INV000197,S001,SKU0197,2026-06-01,86,66,In Stock
INV000198,S001,SKU0198,2026-06-01,97,81,In Stock
INV000199,S001,SKU0199,2026-06-01,99,93,In Stock
INV000200,S001,SKU0200,2026-06-01,26,23,In Stock
INV000201,S001,SKU0201,2026-06-01,50,37,In Stock
INV000202,S001,SKU0202,2026-06-01,80,67,In Stock
INV000203,S001,SKU0203,2026-06-01,91,74,In Stock
INV000204,S001,SKU0204,2026-06-01,59,34,In Stock
INV000205,S001,SKU0205,2026-06-01,73,48,In Stock
INV000206,S001,SKU0206,2026-06-01,23,13,In Stock
INV000207,S001,SKU0207,2026-06-01,44,24,In Stock
INV000208,S001,SKU0208,2026-06-01,88,81,In Stock
INV000209,S001,SKU0209,2026-06-01,43,41,In Stock
INV000210,S001,SKU0210,2026-06-01,61,54,In Stock
INV000211,S001,SKU0211,2026-06-01,94,94,In Stock
INV000212,S001,SKU0212,2026-06-01,61,60,In Stock
INV000213,S001,SKU0213,2026-06-01,31,29,In Stock
INV000214,S001,SKU0214,2026-06-01,74,56,In Stock
INV000215,S001,SKU0215,2026-06-01,93,73,In Stock
INV000216,S001,SKU0216,2026-06-01,33,9,In Stock
INV000217,S001,SKU0217,2026-06-01,65,36,In Stock
INV000218,S001,SKU0218,2026-06-01,89,88,In Stock
INV000219,S001,SKU0219,2026-06-01,61,49,In Stock
INV000220,S001,SKU0220,2026-06-01,89,68,In Stock
INV000221,S001,SKU0221,2026-06-01,85,73,In Stock
INV000222,S001,SKU0222,2026-06-01,31,21,In Stock
INV000223,S001,SKU0223,2026-06-01,61,60,In Stock
INV000224,S001,SKU0224,2026-06-01,46,26,In Stock
INV000225,S001,SKU0225,2026-06-01,46,14,In Stock
INV000226,S001,SKU0226,2026-06-01,26,22,In Stock
INV000227,S001,SKU0227,2026-06-01,62,59,In Stock
INV000228,S001,SKU0228,2026-06-01,22,0,Out of Stock
INV000229,S001,SKU0229,2026-06-01,86,62,In Stock
INV000230,S001,SKU0230,2026-06-01,39,23,In Stock
INV000231,S001,SKU0231,2026-06-01,31,0,Out of Stock
INV000232,S001,SKU0232,2026-06-01,21,0,Out of Stock
INV000233,S001,SKU0233,2026-06-01,77,45,In Stock
INV000234,S001,SKU0234,2026-06-01,64,46,In Stock
INV000235,S001,SKU0235,2026-06-01,58,40,In Stock
INV000236,S001,SKU0236,2026-06-01,60,49,In Stock
INV000237,S001,SKU0237,2026-06-01,32,23,In Stock
INV000238,S001,SKU0238,2026-06-01,72,66,In Stock
INV000239,S001,SKU0239,2026-06-01,27,6,In Stock
INV000240,S001,SKU0240,2026-06-01,97,72,In Stock
INV000241,S001,SKU0241,2026-06-01,94,94,In Stock
INV000242,S001,SKU0242,2026-06-01,69,30,In Stock
INV000243,S001,SKU0243,2026-06-01,89,82,In Stock
INV000244,S001,SKU0244,2026-06-01,95,75,In Stock
INV000245,S001,SKU0245,2026-06-01,21,0,Out of Stock
INV000246,S001,SKU0246,2026-06-01,69,59,In Stock
INV000247,S001,SKU0247,2026-06-01,40,35,In Stock
INV000248,S001,SKU0248,2026-06-01,79,67,In Stock
INV000249,S001,SKU0249,2026-06-01,87,48,In Stock
INV000250,S001,SKU0250,2026-06-01,84,57,In Stock
INV000251,S001,SKU0251,2026-06-01,43,36,In Stock
INV000252,S001,SKU0252,2026-06-01,84,72,In Stock
INV000253,S001,SKU0253,2026-06-01,20,3,Low Stock
INV000254,S001,SKU0254,2026-06-01,46,12,In Stock
INV000255,S001,SKU0255,2026-06-01,44,34,In Stock
INV000256,S001,SKU0256,2026-06-01,99,73,In Stock
INV000257,S001,SKU0257,2026-06-01,40,32,In Stock
INV000258,S001,SKU0258,2026-06-01,39,37,In Stock
INV000259,S001,SKU0259,2026-06-01,30,0,Out of Stock
INV000260,S001,SKU0260,2026-06-01,72,60,In Stock
INV000261,S001,SKU0261,2026-06-01,98,89,In Stock
INV000262,S001,SKU0262,2026-06-01,72,46,In Stock
INV000263,S001,SKU0263,2026-06-01,95,83,In Stock
INV000264,S001,SKU0264,2026-06-01,87,65,In Stock
INV000265,S001,SKU0265,2026-06-01,85,58,In Stock
INV000266,S001,SKU0266,2026-06-01,82,65,In Stock
INV000267,S001,SKU0267,2026-06-01,73,60,In Stock
INV000268,S001,SKU0268,2026-06-01,37,26,In Stock
INV000269,S001,SKU0269,2026-06-01,41,21,In Stock
INV000270,S001,SKU0270,2026-06-01,34,16,In Stock
INV000271,S001,SKU0271,2026-06-01,58,26,In Stock
INV000272,S001,SKU0272,2026-06-01,38,37,In Stock
INV000273,S001,SKU0273,2026-06-01,93,75,In Stock
INV000274,S001,SKU0274,2026-06-01,69,49,In Stock
INV000275,S001,SKU0275,2026-06-01,68,52,In Stock
INV000276,S001,SKU0276,2026-06-01,28,11,In Stock
INV000277,S001,SKU0277,2026-06-01,66,45,In Stock
INV000278,S001,SKU0278,2026-06-01,22,0,Out of Stock
INV000279,S001,SKU0279,2026-06-01,59,28,In Stock
INV000280,S001,SKU0280,2026-06-01,96,63,In Stock
INV000281,S001,SKU0281,2026-06-01,86,63,In Stock
INV000282,S001,SKU0282,2026-06-01,72,48,In Stock
INV000283,S001,SKU0283,2026-06-01,78,69,In Stock
INV000284,S001,SKU0284,2026-06-01,64,25,In Stock
INV000285,S001,SKU0285,2026-06-01,38,6,Low Stock
INV000286,S001,SKU0286,2026-06-01,26,11,In Stock
INV000287,S001,SKU0287,2026-06-01,71,38,In Stock
INV000288,S001,SKU0288,2026-06-01,78,53,In Stock
INV000289,S001,SKU0289,2026-06-01,43,11,In Stock
INV000290,S001,SKU0290,2026-06-01,55,39,In Stock
INV000291,S001,SKU0291,2026-06-01,82,48,In Stock
INV000292,S001,SKU0292,2026-06-01,98,65,In Stock
INV000293,S001,SKU0293,2026-06-01,93,67,In Stock
INV000294,S001,SKU0294,2026-06-01,39,5,Low Stock
INV000295,S001,SKU0295,2026-06-01,46,9,Low Stock
INV000296,S001,SKU0296,2026-06-01,80,68,In Stock
INV000297,S001,SKU0297,2026-06-01,27,6,In Stock
INV000298,S001,SKU0298,2026-06-01,78,70,In Stock
INV000299,S001,SKU0299,2026-06-01,70,53,In Stock
INV000300,S001,SKU0300,2026-06-01,65,32,In Stock
INV000301,S001,SKU0301,2026-06-01,95,65,In Stock
INV000302,S001,SKU0302,2026-06-01,76,47,In Stock
INV000303,S001,SKU0303,2026-06-01,86,62,In Stock
INV000304,S001,SKU0304,2026-06-01,72,67,In Stock
INV000305,S001,SKU0305,2026-06-01,48,32,In Stock
INV000306,S001,SKU0306,2026-06-01,31,2,Low Stock
INV000307,S001,SKU0307,2026-06-01,66,46,In Stock
INV000308,S001,SKU0308,2026-06-01,44,43,In Stock
INV000309,S001,SKU0309,2026-06-01,77,77,In Stock
INV000310,S001,SKU0310,2026-06-01,85,70,In Stock
INV000311,S001,SKU0311,2026-06-01,30,0,Out of Stock
INV000312,S001,SKU0312,2026-06-01,98,68,In Stock
INV000313,S001,SKU0313,2026-06-01,97,58,In Stock
INV000314,S001,SKU0314,2026-06-01,90,65,In Stock
INV000315,S001,SKU0315,2026-06-01,42,30,In Stock
INV000316,S001,SKU0316,2026-06-01,80,66,In Stock
INV000317,S001,SKU0317,2026-06-01,97,76,In Stock
INV000318,S001,SKU0318,2026-06-01,99,94,In Stock
INV000319,S001,SKU0319,2026-06-01,33,24,In Stock
INV000320,S001,SKU0320,2026-06-01,31,23,In Stock
INV000321,S001,SKU0321,2026-06-01,80,50,In Stock
INV000322,S001,SKU0322,2026-06-01,71,33,In Stock
INV000323,S001,SKU0323,2026-06-01,58,22,In Stock
INV000324,S001,SKU0324,2026-06-01,53,16,In Stock
INV000325,S001,SKU0325,2026-06-01,51,13,In Stock
INV000326,S001,SKU0326,2026-06-01,32,13,In Stock
INV000327,S001,SKU0327,2026-06-01,78,53,In Stock
INV000328,S001,SKU0328,2026-06-01,55,31,In Stock
INV000329,S001,SKU0329,2026-06-01,37,37,In Stock
INV000330,S001,SKU0330,2026-06-01,65,51,In Stock
INV000331,S001,SKU0331,2026-06-01,34,10,In Stock
INV000332,S001,SKU0332,2026-06-01,91,58,In Stock
INV000333,S001,SKU0333,2026-06-01,75,42,In Stock
INV000334,S001,SKU0334,2026-06-01,37,31,In Stock
INV000335,S001,SKU0335,2026-06-01,92,66,In Stock
INV000336,S001,SKU0336,2026-06-01,95,64,In Stock
INV000337,S001,SKU0337,2026-06-01,47,12,In Stock
INV000338,S001,SKU0338,2026-06-01,29,0,Out of Stock
INV000339,S001,SKU0339,2026-06-01,79,45,In Stock
INV000340,S001,SKU0340,2026-06-01,98,73,In Stock
INV000341,S001,SKU0341,2026-06-01,44,23,In Stock
INV000342,S001,SKU0342,2026-06-01,42,13,In Stock
INV000343,S001,SKU0343,2026-06-01,91,79,In Stock
INV000344,S001,SKU0344,2026-06-01,56,42,In Stock
INV000345,S001,SKU0345,2026-06-01,39,2,Low Stock
INV000346,S001,SKU0346,2026-06-01,87,63,In Stock
INV000347,S001,SKU0347,2026-06-01,87,64,In Stock
INV000348,S001,SKU0348,2026-06-01,46,15,In Stock
INV000349,S001,SKU0349,2026-06-01,51,41,In Stock
INV000350,S001,SKU0350,2026-06-01,37,15,In Stock
INV000351,S001,SKU0351,2026-06-01,34,10,In Stock
INV000352,S001,SKU0352,2026-06-01,31,31,In Stock
INV000353,S001,SKU0353,2026-06-01,94,69,In Stock
INV000354,S001,SKU0354,2026-06-01,29,21,In Stock
INV000355,S001,SKU0355,2026-06-01,49,46,In Stock
INV000356,S001,SKU0356,2026-06-01,35,27,In Stock
INV000357,S001,SKU0357,2026-06-01,66,43,In Stock
INV000358,S001,SKU0358,2026-06-01,23,5,In Stock
INV000359,S001,SKU0359,2026-06-01,51,12,In Stock
INV000360,S001,SKU0360,2026-06-01,35,0,Out of Stock
INV000361,S001,SKU0361,2026-06-01,34,0,Out of Stock
INV000362,S001,SKU0362,2026-06-01,92,60,In Stock
INV000363,S001,SKU0363,2026-06-01,25,11,In Stock
INV000364,S001,SKU0364,2026-06-01,43,40,In Stock
INV000365,S001,SKU0365,2026-06-01,68,58,In Stock
INV000366,S001,SKU0366,2026-06-01,60,57,In Stock
INV000367,S001,SKU0367,2026-06-01,49,29,In Stock
INV000368,S001,SKU0368,2026-06-01,57,45,In Stock
INV000369,S001,SKU0369,2026-06-01,57,48,In Stock
INV000370,S001,SKU0370,2026-06-01,70,67,In Stock
INV000371,S001,SKU0371,2026-06-01,44,40,In Stock
INV000372,S001,SKU0372,2026-06-01,81,42,In Stock
INV000373,S001,SKU0373,2026-06-01,50,29,In Stock
INV000374,S001,SKU0374,2026-06-01,63,54,In Stock
INV000375,S001,SKU0375,2026-06-01,35,23,In Stock
INV000376,S001,SKU0376,2026-06-01,34,8,In Stock
INV000377,S001,SKU0377,2026-06-01,43,37,In Stock
INV000378,S001,SKU0378,2026-06-01,56,53,In Stock
INV000379,S001,SKU0379,2026-06-01,86,83,In Stock
INV000380,S001,SKU0380,2026-06-01,39,14,In Stock
INV000381,S001,SKU0381,2026-06-01,65,26,In Stock
INV000382,S001,SKU0382,2026-06-01,41,35,In Stock
INV000383,S001,SKU0383,2026-06-01,76,58,In Stock
INV000384,S001,SKU0384,2026-06-01,26,0,Out of Stock
INV000385,S001,SKU0385,2026-06-01,68,63,In Stock
INV000386,S001,SKU0386,2026-06-01,37,37,In Stock
INV000387,S001,SKU0387,2026-06-01,68,39,In Stock
INV000388,S001,SKU0388,2026-06-01,54,28,In Stock
INV000389,S001,SKU0389,2026-06-01,95,85,In Stock
INV000390,S001,SKU0390,2026-06-01,86,50,In Stock
INV000391,S001,SKU0391,2026-06-01,74,37,In Stock
INV000392,S001,SKU0392,2026-06-01,78,76,In Stock
INV000393,S001,SKU0393,2026-06-01,32,13,In Stock
INV000394,S001,SKU0394,2026-06-01,65,53,In Stock
INV000395,S001,SKU0395,2026-06-01,22,0,Out of Stock
INV000396,S001,SKU0396,2026-06-01,59,49,In Stock
INV000397,S001,SKU0397,2026-06-01,41,8,Low Stock
INV000398,S001,SKU0398,2026-06-01,30,2,Low Stock
INV000399,S001,SKU0399,2026-06-01,42,14,In Stock
INV000400,S001,SKU0400,2026-06-01,61,56,In Stock
INV000401,S001,SKU0401,2026-06-01,45,30,In Stock
INV000402,S001,SKU0402,2026-06-01,67,62,In Stock
INV000403,S001,SKU0403,2026-06-01,68,33,In Stock
INV000404,S001,SKU0404,2026-06-01,57,42,In Stock
INV000405,S001,SKU0405,2026-06-01,95,58,In Stock
INV000406,S001,SKU0406,2026-06-01,82,62,In Stock
INV000407,S001,SKU0407,2026-06-01,29,0,Out of Stock
INV000408,S001,SKU0408,2026-06-01,64,61,In Stock
INV000409,S001,SKU0409,2026-06-01,85,68,In Stock
INV000410,S001,SKU0410,2026-06-01,35,8,In Stock
INV000411,S001,SKU0411,2026-06-01,96,85,In Stock
INV000412,S001,SKU0412,2026-06-01,50,41,In Stock
INV000413,S001,SKU0413,2026-06-01,57,47,In Stock
INV000414,S001,SKU0414,2026-06-01,81,66,In Stock
INV000415,S001,SKU0415,2026-06-01,53,48,In Stock
INV000416,S001,SKU0416,2026-06-01,54,47,In Stock
INV000417,S001,SKU0417,2026-06-01,58,54,In Stock
INV000418,S001,SKU0418,2026-06-01,73,63,In Stock
INV000419,S001,SKU0419,2026-06-01,80,47,In Stock
INV000420,S001,SKU0420,2026-06-01,47,30,In Stock
INV000421,S001,SKU0421,2026-06-01,27,19,In Stock
INV000422,S001,SKU0422,2026-06-01,63,33,In Stock
INV000423,S001,SKU0423,2026-06-01,40,32,In Stock
INV000424,S001,SKU0424,2026-06-01,65,63,In Stock
INV000425,S001,SKU0425,2026-06-01,31,26,In Stock
INV000426,S001,SKU0426,2026-06-01,67,51,In Stock
INV000427,S001,SKU0427,2026-06-01,86,72,In Stock
INV000428,S001,SKU0428,2026-06-01,37,21,In Stock
INV000429,S001,SKU0429,2026-06-01,30,10,In Stock
INV000430,S001,SKU0430,2026-06-01,52,27,In Stock
INV000431,S001,SKU0431,2026-06-01,83,60,In Stock
INV000432,S001,SKU0432,2026-06-01,68,64,In Stock
INV000433,S001,SKU0433,2026-06-01,39,2,Low Stock
INV000434,S001,SKU0434,2026-06-01,97,79,In Stock
INV000435,S001,SKU0435,2026-06-01,73,56,In Stock
INV000436,S001,SKU0436,2026-06-01,92,54,In Stock
INV000437,S001,SKU0437,2026-06-01,78,76,In Stock
INV000438,S001,SKU0438,2026-06-01,68,34,In Stock
INV000439,S001,SKU0439,2026-06-01,35,32,In Stock
INV000440,S001,SKU0440,2026-06-01,59,37,In Stock
INV000441,S001,SKU0441,2026-06-01,96,93,In Stock
INV000442,S001,SKU0442,2026-06-01,64,26,In Stock
INV000443,S001,SKU0443,2026-06-01,89,55,In Stock
INV000444,S001,SKU0444,2026-06-01,63,34,In Stock
INV000445,S001,SKU0445,2026-06-01,63,40,In Stock
INV000446,S001,SKU0446,2026-06-01,95,78,In Stock
INV000447,S001,SKU0447,2026-06-01,86,48,In Stock
INV000448,S001,SKU0448,2026-06-01,27,22,In Stock
INV000449,S001,SKU0449,2026-06-01,27,6,In Stock
INV000450,S001,SKU0450,2026-06-01,78,73,In Stock
INV000451,S001,SKU0451,2026-06-01,57,38,In Stock
INV000452,S001,SKU0452,2026-06-01,73,34,In Stock
INV000453,S001,SKU0453,2026-06-01,26,14,In Stock
INV000454,S001,SKU0454,2026-06-01,93,67,In Stock
INV000455,S001,SKU0455,2026-06-01,78,51,In Stock
INV000456,S001,SKU0456,2026-06-01,57,39,In Stock
INV000457,S001,SKU0457,2026-06-01,69,52,In Stock
INV000458,S001,SKU0458,2026-06-01,93,89,In Stock
INV000459,S001,SKU0459,2026-06-01,23,0,Out of Stock
INV000460,S001,SKU0460,2026-06-01,25,5,Low Stock
INV000461,S001,SKU0461,2026-06-01,86,80,In Stock
